#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2016 01 01 19 00 131  8.4 999 99.0 9999
2016 01 01 19 10 132  8.6 999 99.0 9999
2016 01 01 19 20 134  9.2 999 99.0 9999
2016 01 01 19 30 135  9.0 999 99.0 9999
2016 01 01 19 40 136  9.5 999 99.0 9999
2016 01 01 19 50 136  8.8 141 12.0 1932
2016 01 01 20 00 137  7.9 999 99.0 9999
2016 01 01 20 10 140  8.3 999 99.0 9999
2016 01 01 20 20 148  8.7 999 99.0 9999
2016 01 01 20 30 154  8.1 999 99.0 9999
2016 01 01 20 40 145  8.5 999 99.0 9999
2016 01 01 20 50 150  8.7 142 10.5 2012
2016 01 01 21 00 147  8.2 999 99.0 9999
2016 01 01 21 10 151  8.5 999 99.0 9999
2016 01 01 21 20 162  8.6 999 99.0 9999
2016 01 01 21 30 151  8.0 999 99.0 9999
2016 01 01 21 40 140  8.2 999 99.0 9999
2016 01 01 21 50 130  8.0 158 10.8 2120
2016 01 01 22 00 131  8.0 999 99.0 9999
2016 01 01 22 10 133  8.2 999 99.0 9999
2016 01 01 22 20 137  9.3 999 99.0 9999
2016 01 01 22 30 139 10.1 999 99.0 9999
2016 01 01 22 40 139 10.1 999 99.0 9999
2016 01 01 22 50 139  9.5 141 12.5 2230
2016 01 01 23 00 140 10.0 999 99.0 9999
2016 01 01 23 10 146  9.8 999 99.0 9999
2016 01 01 23 20 141  9.6 999 99.0 9999
2016 01 01 23 30 136  9.9 999 99.0 9999
2016 01 01 23 40 132  9.3 999 99.0 9999
2016 01 01 23 50 139  9.7 129 11.9 2322
2016 01 02 00 00 142  9.7 999 99.0 9999
2016 01 02 00 10 146  9.9 999 99.0 9999
2016 01 02 00 20 153 10.2 999 99.0 9999
2016 01 02 00 30 149 10.1 999 99.0 9999
2016 01 02 00 40 152 10.1 999 99.0 9999
2016 01 02 00 50 145  9.9 136 12.7 0019
2016 01 02 01 00 143 10.0 999 99.0 9999
2016 01 02 01 10 150  9.8 999 99.0 9999
2016 01 02 01 20 152  9.7 999 99.0 9999
2016 01 02 01 30 145  9.5 999 99.0 9999
2016 01 02 01 40 149  9.4 999 99.0 9999
2016 01 02 01 50 146  9.7 135 12.0 0054
2016 01 02 02 00 149  9.3 999 99.0 9999
2016 01 02 02 10 148  9.8 999 99.0 9999
2016 01 02 02 20 146  9.6 999 99.0 9999
2016 01 02 02 30 146  9.7 999 99.0 9999
2016 01 02 02 40 146  9.1 999 99.0 9999
2016 01 02 02 50 150  9.2 140 11.9 0200
2016 01 02 03 00 149  9.3 999 99.0 9999
2016 01 02 03 10 157  9.1 999 99.0 9999
2016 01 02 03 20 150  9.9 999 99.0 9999
2016 01 02 03 30 149  9.8 999 99.0 9999
2016 01 02 03 40 141  9.9 999 99.0 9999
2016 01 02 03 50 142  9.7 146 12.3 0322
2016 01 02 04 00 142  9.6 999 99.0 9999
2016 01 02 04 10 142  9.9 999 99.0 9999
2016 01 02 04 20 147 10.4 999 99.0 9999
2016 01 02 04 30 140 10.1 999 99.0 9999
2016 01 02 04 40 142  9.9 999 99.0 9999
2016 01 02 04 50 137 10.2 137 12.4 0407
2016 01 02 05 00 134  9.7 999 99.0 9999
2016 01 02 05 10 133 10.5 999 99.0 9999
2016 01 02 05 20 131 10.3 999 99.0 9999
2016 01 02 05 30 137 10.2 999 99.0 9999
2016 01 02 05 40 144 10.4 999 99.0 9999
2016 01 02 05 50 147 10.3 133 12.6 0510
2016 01 02 06 00 144 10.0 999 99.0 9999
2016 01 02 06 10 142 10.4 999 99.0 9999
2016 01 02 06 20 143 10.2 999 99.0 9999
2016 01 02 06 30 141 10.9 999 99.0 9999
2016 01 02 06 40 145 10.8 999 99.0 9999
2016 01 02 06 50 145 10.4 135 13.3 0640
2016 01 02 07 00 149 10.6 999 99.0 9999
2016 01 02 07 10 149 10.5 999 99.0 9999
2016 01 02 07 20 145 10.6 999 99.0 9999
2016 01 02 07 30 144 10.7 999 99.0 9999
2016 01 02 07 40 140 11.1 999 99.0 9999
2016 01 02 07 50 142 10.9 137 13.6 0729
2016 01 02 08 00 140 10.8 999 99.0 9999
2016 01 02 08 10 138 10.8 999 99.0 9999
2016 01 02 08 20 140 10.2 999 99.0 9999
2016 01 02 08 30 139 11.0 999 99.0 9999
2016 01 02 08 40 141 11.0 999 99.0 9999
2016 01 02 08 50 143 10.7 142 13.6 0840
2016 01 02 09 00 141 10.7 999 99.0 9999
2016 01 02 09 10 144 10.5 999 99.0 9999
2016 01 02 09 20 142 10.5 999 99.0 9999
2016 01 02 09 30 140 11.1 999 99.0 9999
2016 01 02 09 40 142 10.6 999 99.0 9999
2016 01 02 09 50 142 10.8 139 13.2 0916
2016 01 02 10 00 145 10.7 999 99.0 9999
2016 01 02 10 10 145 11.5 999 99.0 9999
2016 01 02 10 20 146 11.3 999 99.0 9999
2016 01 02 10 30 147 10.9 999 99.0 9999
2016 01 02 10 40 147 10.7 999 99.0 9999
2016 01 02 10 50 148 10.9 137 13.8 1019
2016 01 02 11 00 148 11.1 999 99.0 9999
2016 01 02 11 10 144 10.6 999 99.0 9999
2016 01 02 11 20 142 10.9 999 99.0 9999
2016 01 02 11 30 142 11.1 999 99.0 9999
2016 01 02 11 40 140 11.9 999 99.0 9999
2016 01 02 11 50 142 11.6 139 14.2 1136
2016 01 02 12 00 142 11.5 999 99.0 9999
2016 01 02 12 10 139 11.6 999 99.0 9999
2016 01 02 12 20 137 11.2 999 99.0 9999
2016 01 02 12 30 132 11.2 999 99.0 9999
2016 01 02 12 40 134 11.2 999 99.0 9999
2016 01 02 12 50 135 11.3 126 14.5 1155
2016 01 02 13 00 131 11.3 999 99.0 9999
2016 01 02 13 10 130 12.0 999 99.0 9999
2016 01 02 13 20 131 11.5 999 99.0 9999
2016 01 02 13 30 130 11.3 999 99.0 9999
2016 01 02 13 40 128 10.8 999 99.0 9999
2016 01 02 13 50 130 11.2 129 14.5 1328
2016 01 02 14 00 131 11.4 999 99.0 9999
2016 01 02 14 10 131 11.3 999 99.0 9999
2016 01 02 14 20 127 11.6 999 99.0 9999
2016 01 02 14 30 126 11.7 999 99.0 9999
2016 01 02 14 40 122 11.2 999 99.0 9999
2016 01 02 14 50 123 11.9 131 15.2 1406
2016 01 02 15 00 124 11.5 999 99.0 9999
2016 01 02 15 10 127 12.3 999 99.0 9999
2016 01 02 15 20 129 11.8 999 99.0 9999
2016 01 02 15 30 126 12.2 999 99.0 9999
2016 01 02 15 40 127 12.0 999 99.0 9999
2016 01 02 15 50 126 11.5 114 15.9 1503
2016 01 02 16 00 126 12.3 999 99.0 9999
2016 01 02 16 10 126 12.1 999 99.0 9999
2016 01 02 16 20 125 11.7 999 99.0 9999
2016 01 02 16 30 127 11.8 999 99.0 9999
2016 01 02 16 40 123 12.1 999 99.0 9999
2016 01 02 16 50 122 12.1 126 15.8 1554
2016 01 02 17 00 123 12.2 999 99.0 9999
2016 01 02 17 10 124 11.8 999 99.0 9999
2016 01 02 17 20 126 12.1 999 99.0 9999
2016 01 02 17 30 126 12.5 999 99.0 9999
2016 01 02 17 40 124 12.3 999 99.0 9999
2016 01 02 17 50 126 13.0 122 16.1 1741
2016 01 02 18 00 127 12.5 999 99.0 9999
2016 01 02 18 10 128 13.5 999 99.0 9999
2016 01 02 18 20 126 12.7 999 99.0 9999
2016 01 02 18 30 127 13.0 999 99.0 9999
2016 01 02 18 40 129 13.6 999 99.0 9999
2016 01 02 18 50 128 13.1 118 17.3 1808
2016 01 02 19 00 129 13.2 999 99.0 9999
2016 01 02 19 10 131 13.4 999 99.0 9999
2016 01 02 19 20 134 13.1 999 99.0 9999
2016 01 02 19 30 132 12.8 999 99.0 9999
2016 01 02 19 40 129 13.4 999 99.0 9999
2016 01 02 19 50 132 13.5 133 17.4 1914
2016 01 02 20 00 129 12.9 999 99.0 9999
2016 01 02 20 10 130 13.2 999 99.0 9999
2016 01 02 20 20 131 13.3 999 99.0 9999
2016 01 02 20 30 130 14.0 999 99.0 9999
2016 01 02 20 40 128 13.3 999 99.0 9999
2016 01 02 20 50 131 13.7 116 17.3 2048
2016 01 02 21 00 129 13.9 999 99.0 9999
2016 01 02 21 10 130 13.7 999 99.0 9999
2016 01 02 21 20 128 13.5 999 99.0 9999
2016 01 02 21 30 128 13.8 999 99.0 9999
2016 01 02 21 40 125 13.9 999 99.0 9999
2016 01 02 21 50 124 13.9 130 18.4 2122
2016 01 02 22 00 120 14.1 999 99.0 9999
2016 01 02 22 10 121 13.8 999 99.0 9999
2016 01 02 22 20 119 13.8 999 99.0 9999
2016 01 02 22 30 119 13.9 999 99.0 9999
2016 01 02 22 40 115 14.0 999 99.0 9999
2016 01 02 22 50 117 14.1 104 18.6 2222
2016 01 02 23 00 115 14.0 999 99.0 9999
2016 01 02 23 10 117 13.8 999 99.0 9999
2016 01 02 23 20 114 14.1 999 99.0 9999
2016 01 02 23 30 116 13.9 999 99.0 9999
2016 01 02 23 40 114 14.0 999 99.0 9999
2016 01 02 23 50 113 13.6 122 17.9 2305
2016 01 03 00 00 113 13.5 999 99.0 9999
2016 01 03 00 10 110 14.5 999 99.0 9999
2016 01 03 00 20 111 13.5 999 99.0 9999
2016 01 03 00 30 110 13.6 999 99.0 9999
2016 01 03 00 40 109 13.9 999 99.0 9999
2016 01 03 00 50 111 14.1 123 18.0 0031
2016 01 03 01 00 112 13.8 999 99.0 9999
2016 01 03 01 10 111 13.7 999 99.0 9999
2016 01 03 01 20 110 14.0 999 99.0 9999
2016 01 03 01 30 111 13.6 999 99.0 9999
2016 01 03 01 40 109 14.0 999 99.0 9999
2016 01 03 01 50 110 14.3 113 18.5 0149
2016 01 03 02 00 107 14.1 999 99.0 9999
2016 01 03 02 10 106 14.0 999 99.0 9999
2016 01 03 02 20 105 14.3 999 99.0 9999
