#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 04 02 05 00 130  2.0   MM    MM    MM    MM  MM 1010.2  11.4  11.2    MM   MM -0.6    MM
2019 04 02 04 50 120  2.0   MM    MM    MM    MM  MM 1010.2  11.3  11.2    MM   MM   MM    MM
2019 04 02 04 40 120  2.0   MM    MM    MM    MM  MM 1010.2  11.3  11.2    MM   MM   MM    MM
2019 04 02 04 30 100  2.0   MM    MM    MM    MM  MM 1010.2  11.3  11.2    MM   MM   MM    MM
2019 04 02 04 20  90  2.0   MM   1.5    MM    MM 267 1010.2  11.3  11.2    MM   MM   MM    MM
2019 04 02 04 10  90  2.0   MM   1.5    15    MM  MM 1010.3  11.3  11.2    MM   MM   MM    MM
2019 04 02 04 00  90  2.0   MM    MM    MM    MM  MM 1010.2  11.2  11.2    MM   MM   MM    MM
2019 04 02 03 50  90  3.0   MM    MM    MM    MM  MM 1010.3  11.2  11.1    MM   MM   MM    MM
2019 04 02 03 40  80  3.0   MM    MM    MM    MM  MM 1010.2  11.2  11.1    MM   MM   MM    MM
2019 04 02 03 30  80  3.0   MM    MM    MM    MM  MM 1010.2  11.2  11.1    MM   MM   MM    MM
2019 04 02 03 20  80  3.0   MM   1.4    MM    MM 269 1010.3  11.1  11.0    MM   MM   MM    MM
2019 04 02 03 10  80  4.0   MM   1.4    17    MM  MM 1010.3  11.1  11.0    MM   MM   MM    MM
2019 04 02 03 00  80  4.0   MM    MM    MM    MM  MM 1010.3  11.1  11.1    MM   MM -1.5    MM
2019 04 02 02 50  70  4.0   MM    MM    MM    MM  MM 1010.4  11.1  11.1    MM   MM   MM    MM
2019 04 02 02 40  80  4.0   MM    MM    MM    MM  MM 1010.4  11.1  11.1    MM   MM   MM    MM
2019 04 02 02 30  80  4.0   MM    MM    MM    MM  MM 1010.6  11.1  11.1    MM   MM   MM    MM
2019 04 02 02 20  80  4.0   MM   1.6    MM    MM 276 1010.7  11.1  11.1    MM   MM   MM    MM
2019 04 02 02 10  80  4.0   MM   1.6    17    MM  MM 1010.8  11.1  11.1    MM   MM   MM    MM
2019 04 02 02 00  80  3.0   MM    MM    MM    MM  MM 1010.8  11.1  11.1    MM   MM   MM    MM
2019 04 02 01 50  70  3.0   MM    MM    MM    MM  MM 1010.9  11.0  11.2    MM   MM   MM    MM
2019 04 02 01 40  60  3.0   MM    MM    MM    MM  MM 1011.0  11.0  11.2    MM   MM   MM    MM
2019 04 02 01 30  60  3.0   MM    MM    MM    MM  MM 1011.0  10.9  11.2    MM   MM   MM    MM
2019 04 02 01 20  40  2.0   MM   1.5    MM    MM 278 1011.2  10.9  11.2    MM   MM   MM    MM
2019 04 02 01 10  30  2.0   MM   1.5    17    MM  MM 1011.3  10.9  11.2    MM   MM   MM    MM
2019 04 02 01 00  20  2.0   MM    MM    MM    MM  MM 1011.4  10.8  11.2    MM   MM -1.2    MM
2019 04 02 00 50  20  2.0   MM    MM    MM    MM  MM 1011.5  10.8  11.2    MM   MM   MM    MM
2019 04 02 00 40  10  2.0   MM    MM    MM    MM  MM 1011.5  10.8  11.2    MM   MM   MM    MM
2019 04 02 00 30 350  2.0   MM    MM    MM    MM  MM 1011.6  10.7  11.2    MM   MM   MM    MM
2019 04 02 00 20 350  2.0   MM   1.5    MM    MM 272 1011.7  10.7  11.2    MM   MM   MM    MM
2019 04 02 00 10 350  2.0   MM   1.5    17    MM  MM 1011.8  10.7  11.2    MM   MM   MM    MM
2019 04 02 00 00 350  2.0   MM    MM    MM    MM  MM 1011.8  10.6  11.2    MM   MM   MM    MM
2019 04 01 23 50 360  2.0   MM    MM    MM    MM  MM 1011.9  10.6  11.2    MM   MM   MM    MM
2019 04 01 23 40 350  2.0   MM    MM    MM    MM  MM 1011.9  10.6  11.3    MM   MM   MM    MM
2019 04 01 23 30 340  2.0   MM    MM    MM    MM  MM 1012.0  10.6  11.2    MM   MM   MM    MM
2019 04 01 23 20 350  2.0   MM   1.9    MM    MM 286 1012.1  10.6  11.2    MM   MM   MM    MM
2019 04 01 23 10 350  2.0   MM   1.9    17    MM  MM 1012.1  10.6  11.2    MM   MM   MM    MM
2019 04 01 23 00  10  2.0   MM    MM    MM    MM  MM 1012.0  10.6  11.2    MM   MM -2.0    MM
