Hm0_contour,Te_contour
7.157644218841061,24.55961310771593
7.259799831917445,24.527223413744434
7.36165412653083,24.49394550657376
7.463185077483039,24.4597864480518
7.564370712433221,24.42475340649347
7.665189120782213,24.388853653728
7.765618462501036,24.352094562050176
7.865636977250998,24.314483602057415
7.965222992860292,24.276028338745267
8.06435493447433,24.236736429589968
8.163011333061082,24.19661562095178
8.261170834260604,24.155673745545318
8.358812206983352,24.113918719368886
8.45591435196223,24.071358538676492
8.552456310403391,24.02800127734752
8.648417272322488,23.983855083645267
8.743776585105195,23.938928177697004
8.838513761569834,23.893228847982606
8.932608488405823,23.846765448910578
9.026040634237697,23.79954639772186
9.11879025774836,23.75158017174595
9.210837615408835,23.70287530502243
9.302163169571063,23.65344038594792
9.392747596106906,23.603284054171155
9.482571792088066,23.55241499782904
9.571616883142456,23.500841950374113
9.659864231121471,23.448573688289137
9.747295441070674,23.395619027666392
9.833892368570712,23.34198682180415
9.919637126731358,23.28768595838666
10.00451209297233,23.23272535654658
10.088499915915643,23.17711396442123
10.171583521713375,23.120860755954627
10.253746120780345,23.063974728738902
10.334971213957747,23.006464901110487
10.415242598613546,22.948340309449375
10.494544374661537,22.889610005641075
10.572860950432984,22.830283054584974
10.650177048282574,22.770368531558713
10.726477710094235,22.709875519729714
10.801748302552191,22.648813107592794
10.875974522384151,22.587190386676937
10.949142401225684,22.525016448955917
11.021238310581314,22.46230038473192
11.092248966252082,22.39905127999582
11.16216143288593,22.335278214307102
11.230963128179525,22.270990258453445
11.298641827019306,22.206196472339776
11.365185665233202,22.14090590261519
11.430583143429164,22.07512758075232
11.494823130365077,22.0088705207567
11.557894866296866,21.94214371717178
11.619787966114162,21.87495614309615
11.6804924222608,21.807316748213793
11.739998607386571,21.73923445676822
11.798297276933464,21.670718165764658
11.855379571499853,21.601776743178668
11.911237018797575,21.532419025929702
11.965861535784049,21.462653818404917
12.01924543027143,21.392489890591204
12.071381402475891,21.321935976442443
12.122262546408173,21.251000772343488
12.171882350859718,21.179692935357068
12.220234700532606,21.10802108195747
12.267313876613834,21.035993786354258
12.313114557327854,20.963619579091354
12.357631818417254,20.89090694584542
12.400861133064765,20.817864325824853
12.442798372001846,20.74450011068875
12.4834398031808,20.670822643215836
12.52278209136837,20.5968402161613
12.560822297453324,20.522561071049424
12.597557877669928,20.447993397140593
12.632986682525855,20.373145330320437
12.667106955637395,20.298024952147532
12.699917332314062,20.222640288872345
12.731416837959644,20.146999310504704
12.761604886325618,20.07110992996705
12.790481277572999,19.994980002280023
12.81804619611519,19.918617323748336
12.844300208336154,19.842029631249012
12.869244260117837,19.76522460154455
12.892879674193448,19.68820985063661
12.915208147306139,19.61099293313533
12.936231747253014,19.53358134172681
12.955952909720992,19.455982506634268
12.974374434984112,19.378203795144366
12.991499484442315,19.30025251117295
13.007331576992517,19.222135894857125
13.021874585256057,19.14386112219516
13.035132731668032,19.06543530473513
13.047110584406758,18.986865489286252
13.057813053172472,18.908158657658216
13.067245384874635,18.8293217264842
13.075413159112736,18.75036154700675
13.08232228360204,18.671284904975288
13.087978989401444,18.59209852050673
13.092389826083885,18.512809048045323
13.095561656733485,18.43342307630181
13.097501652849104,18.353947128246325
13.09821728914654,18.27438766114272
13.097716338230695,18.19475106659088
13.096006865183577,18.11504367061746
13.093097222027865,18.0352717337717
13.088996042123568,17.955441451275604
13.083712234451223,17.87555895318051
13.077254977815944,17.79563030455655
13.06963371496602,17.715661505705416
13.060858146638322,17.635658492401852
13.050938225511512,17.555627136142466
13.039884150109323,17.47557324443525
13.027706358623782,17.39550256109777
13.01441552268306,17.31542076658144
13.000022541050603,17.23533347830534
12.984538533285988,17.155246251021754
12.967974833342339,17.07516457718683
12.950342983124898,16.995093887352386
12.93165472600895,16.915039550574285
12.911922000316986,16.8350068748303
12.89115693276652,16.75500110745584
12.869371831888255,16.675027435589087
12.846579181420324,16.595090986629792
12.822791633682524,16.515196828707303
12.798022002931996,16.4353499711559
12.772283258713461,16.355555365006612
12.745588519195014,16.275817903477666
12.717951044502904,16.196142422477532
12.689384230059236,16.116533701114065
12.659901599918815,16.036996462206385
12.62951680011864,15.95753537280345
12.598243592037083,15.878155044706068
12.566095845771834,15.79886003499202
12.533087533532386,15.719654846541191
12.49923272306333,15.640543928566673
12.46454557108819,15.561531677141991
12.429040316787843,15.482622435731377
12.392731275313533,15.403820495717223
12.35563283133267,15.325130096927323
12.317759432626751,15.246555428162436
12.279125583720546,15.168100627713608
12.239745839568142,15.089769783885446
12.199634799289457,15.011566935509853
12.158807099958338,14.93349607245512
12.117277410450349,14.855561136134455
12.075060425345335,14.777766020001417
12.032170858906317,14.70011457004772
11.988623439109372,14.622610585288356
11.94443290175353,14.54525781824079
11.899613984634158,14.46805997539894
11.85418142180038,14.391020717695701
11.808149937878397,14.314143660960275
11.761534242481908,14.237432376364428
11.71434902469985,14.160890390860933
11.666608947670603,14.08452118761128
11.618328643242773,14.008328206404638
11.569522706716064,13.93231484406729
11.520205691685671,13.856484454859793
11.470392104965722,13.780840350863993
11.420096401616465,13.705385802362017
11.369332980057845,13.630124038199428
11.318116177287234,13.555058246142137
11.266460264191293,13.480191573219004
11.214379440963672,13.405527126051805
11.161887832617634,13.33106797117771
11.108999484600016,13.25681713535958
11.055728358518916,13.182777605877213
11.002088327968865,13.108952330817461
10.94809317445775,13.035344219346984
10.893756583452504,12.961956141973141
10.839092140522093,12.888790930793336
10.784113327593484,12.815851379735001
10.728833519313795,12.743140244781799
10.673265979525393,12.670660244188628
10.617423857848024,12.598414058685728
