#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 08 01 08 30 160  2.9 99.0 99.00 99.00 99.00 999 1016.1  14.2  14.4 999.0 99.0 99.00
2019 08 01 08 40 155  3.0 99.0 99.00 99.00 99.00 999 1016.0  14.2  14.3 999.0 99.0 99.00
2019 08 01 08 50 161  3.3 99.0 99.00 99.00 99.00 999 1016.1  14.2  14.3 999.0 99.0 99.00
2019 08 01 09 00 156  3.2 99.0 99.00 99.00 99.00 999 1016.1  14.4  14.1 999.0 99.0 99.00
2019 08 01 09 10 159  3.2 99.0  0.99  7.70 99.00 291 1016.0  14.4  14.0 999.0 99.0 99.00
2019 08 01 09 20 163  3.6 99.0 99.00 99.00 99.00 999 1016.0  14.5  14.0 999.0 99.0 99.00
2019 08 01 09 30 170  3.4 99.0 99.00 99.00 99.00 999 1016.1  14.5  13.9 999.0 99.0 99.00
2019 08 01 09 40 166  3.5 99.0 99.00 99.00 99.00 999 1016.1  14.4  13.8 999.0 99.0 99.00
2019 08 01 09 50 166  3.5 99.0 99.00 99.00 99.00 999 1016.1  14.4  13.7 999.0 99.0 99.00
2019 08 01 10 00 167  2.8 99.0 99.00 99.00 99.00 999 1016.1  14.3  13.7 999.0 99.0 99.00
2019 08 01 10 10 170  3.3 99.0  0.97  8.00 99.00 292 1016.1  14.3  13.7 999.0 99.0 99.00
2019 08 01 10 20 168  3.1 99.0 99.00 99.00 99.00 999 1016.1  14.3  13.7 999.0 99.0 99.00
2019 08 01 10 30 174  3.7 99.0 99.00 99.00 99.00 999 1016.1  14.4  13.6 999.0 99.0 99.00
2019 08 01 10 40 169  3.7 99.0 99.00 99.00 99.00 999 1016.0  14.4  13.6 999.0 99.0 99.00
2019 08 01 10 50 172  3.7 99.0 99.00 99.00 99.00 999 1015.9  14.5  13.6 999.0 99.0 99.00
2019 08 01 11 00 179  3.5 99.0 99.00 99.00 99.00 999 1016.0  14.5  13.5 999.0 99.0 99.00
2019 08 01 11 10 177  3.7 99.0  0.89  8.00 99.00 292 1016.0  14.4  13.5 999.0 99.0 99.00
2019 08 01 11 20 184  3.7 99.0 99.00 99.00 99.00 999 1016.0  14.4  13.5 999.0 99.0 99.00
2019 08 01 11 30 183  3.8 99.0 99.00 99.00 99.00 999 1016.0  14.3  13.5 999.0 99.0 99.00
2019 08 01 11 40 184  4.1 99.0 99.00 99.00 99.00 999 1016.0  14.2  13.4 999.0 99.0 99.00
2019 08 01 11 50 179  3.1 99.0 99.00 99.00 99.00 999 1016.0  14.1  13.3 999.0 99.0 99.00
2019 08 01 12 00 183  2.9 99.0 99.00 99.00 99.00 999 1016.0  14.1  13.3 999.0 99.0 99.00
2019 08 01 12 10 186  2.7 99.0  0.88  6.90 99.00 291 1016.0  14.2  13.2 999.0 99.0 99.00
2019 08 01 12 20 180  2.7 99.0 99.00 99.00 99.00 999 1015.9  14.1  13.2 999.0 99.0 99.00
2019 08 01 12 30 193  2.6 99.0 99.00 99.00 99.00 999 1016.0  14.1  13.3 999.0 99.0 99.00
2019 08 01 12 40 181  2.4 99.0 99.00 99.00 99.00 999 1016.0  14.1  13.2 999.0 99.0 99.00
2019 08 01 12 50 180  2.5 99.0 99.00 99.00 99.00 999 1016.1  14.1  13.0 999.0 99.0 99.00
2019 08 01 13 00 170  2.4 99.0 99.00 99.00 99.00 999 1016.1  14.2  13.1 999.0 99.0 99.00
2019 08 01 13 10 174  2.9 99.0  0.89  7.70 99.00 286 1016.1  14.1  13.4 999.0 99.0 99.00
2019 08 01 13 20 164  3.0 99.0 99.00 99.00 99.00 999 1016.1  14.1  13.3 999.0 99.0 99.00
2019 08 01 13 30 176  2.4 99.0 99.00 99.00 99.00 999 1016.1  14.0  13.3 999.0 99.0 99.00
2019 08 01 13 40 184  2.5 99.0 99.00 99.00 99.00 999 1016.1  13.9  12.9 999.0 99.0 99.00
2019 08 01 13 50 178  2.3 99.0 99.00 99.00 99.00 999 1016.1  13.9  13.1 999.0 99.0 99.00
2019 08 01 14 00 181  2.2 99.0 99.00 99.00 99.00 999 1016.2  14.0  13.2 999.0 99.0 99.00
2019 08 01 14 10 182  2.2 99.0  0.93  7.40 99.00 283 1016.3  13.9  13.2 999.0 99.0 99.00
2019 08 01 14 20 174  2.2 99.0 99.00 99.00 99.00 999 1016.3  13.9  13.0 999.0 99.0 99.00
2019 08 01 14 30 164  2.2 99.0 99.00 99.00 99.00 999 1016.3  13.9  13.0 999.0 99.0 99.00
2019 08 01 14 40 166  2.2 99.0 99.00 99.00 99.00 999 1016.3  14.0  12.9 999.0 99.0 99.00
2019 08 01 14 50 166  2.1 99.0 99.00 99.00 99.00 999 1016.4  14.1  12.9 999.0 99.0 99.00
2019 08 01 15 00 164  2.0 99.0 99.00 99.00 99.00 999 1016.5  14.0  12.6 999.0 99.0 99.00
2019 08 01 15 10 181  1.9 99.0  0.92  7.70 99.00 280 1016.6  14.1  12.8 999.0 99.0 99.00
2019 08 01 15 20 187  2.1 99.0 99.00 99.00 99.00 999 1016.6  14.0  13.0 999.0 99.0 99.00
2019 08 01 15 30 194  2.4 99.0 99.00 99.00 99.00 999 1016.6  14.1  13.1 999.0 99.0 99.00
