Time_UTC,MODAQ_Va_V,MODAQ_Vb_V,MODAQ_Vc_V,MODAQ_Ia_I,MODAQ_Ib_I,MODAQ_Ic_I
2020-02-24 18:15:21.499998208,10652.76449584961,-8499.446319580078,-1850.1661376953125,-23.213653564453125,19.21966552734375,4.0234375
2020-02-24 18:15:21.500018208,10691.122619628906,-8428.702575683594,-1927.6265258789062,-23.40484619140625,19.181671142578125,4.28985595703125
2020-02-24 18:15:21.500038209,10732.961151123047,-8364.997161865234,-2001.2693176269531,-23.4930419921875,19.033966064453125,4.478912353515625
2020-02-24 18:15:21.500058210,10775.892639160156,-8304.582244873047,-2071.2417907714844,-23.68011474609375,18.9178466796875,4.858245849609375
2020-02-24 18:15:21.500078210,10818.29702758789,-8248.07406616211,-2138.0167846679688,-23.737945556640625,18.70208740234375,5.09246826171875
2020-02-24 18:15:21.500098210,10865.034484863281,-8199.964599609375,-2203.714324951172,-23.825531005859375,18.558807373046875,5.36895751953125
2020-02-24 18:15:21.500118211,10911.551025390625,-8152.855072021484,-2270.18701171875,-23.92852783203125,18.401336669921875,5.5462646484375
2020-02-24 18:15:21.500138212,10957.369934082031,-8106.888885498047,-2339.9695739746094,-24.0252685546875,18.190155029296875,5.949249267578125
2020-02-24 18:15:21.500158212,11004.51821899414,-8065.472808837891,-2412.376007080078,-24.102630615234375,17.996063232421875,6.167755126953125
2020-02-24 18:15:21.500178212,11046.430389404297,-8020.711975097656,-2486.262969970703,-24.138031005859375,17.779693603515625,6.342926025390625
2020-02-24 18:15:21.500198213,11086.009368896484,-7977.850250244141,-2563.0257263183594,-24.2041015625,17.594146728515625,6.667022705078125
2020-02-24 18:15:21.500218214,11124.274475097656,-7937.325592041016,-2640.548126220703,-24.22332763671875,17.4029541015625,6.918792724609375
2020-02-24 18:15:21.500238214,11157.970092773438,-7894.428985595703,-2720.6285095214844,-24.303436279296875,17.18048095703125,7.162017822265625
2020-02-24 18:15:21.500258214,11190.251068115234,-7854.082611083984,-2801.782470703125,-24.363861083984375,16.929168701171875,7.42950439453125
2020-02-24 18:15:21.500278215,11219.543853759766,-7812.472747802734,-2883.634063720703,-24.3865966796875,16.707305908203125,7.676849365234375
2020-02-24 18:15:21.500298216,11245.084930419922,-7769.01416015625,-2966.0282592773438,-24.385223388671875,16.53106689453125,7.859649658203125
2020-02-24 18:15:21.500318216,11268.692016601562,-7727.043853759766,-3046.546600341797,-24.478302001953125,16.27716064453125,8.137054443359375
2020-02-24 18:15:21.500338216,11285.857635498047,-7682.922515869141,-3123.2705993652344,-24.53125,16.13433837890625,8.39324951171875
2020-02-24 18:15:21.500358217,11297.678619384766,-7635.479675292969,-3196.611083984375,-24.46319580078125,15.857696533203125,8.631744384765625
2020-02-24 18:15:21.500378218,11306.333129882812,-7586.567932128906,-3266.9788818359375,-24.467315673828125,15.555572509765625,8.843994140625
2020-02-24 18:15:21.500398218,11311.937438964844,-7533.4161376953125,-3336.358367919922,-24.527130126953125,15.3631591796875,9.2193603515625
2020-02-24 18:15:21.500418218,11319.595886230469,-7479.0628662109375,-3405.7572326660156,-24.571380615234375,15.157623291015625,9.359130859375
2020-02-24 18:15:21.500438219,11329.06430053711,-7422.713592529297,-3474.977813720703,-24.592437744140625,14.9664306640625,9.6087646484375
2020-02-24 18:15:21.500458220,11339.063690185547,-7363.864471435547,-3544.1363830566406,-24.659271240234375,14.787445068359375,9.811553955078125
2020-02-24 18:15:21.500478220,11352.7333984375,-7302.120178222656,-3615.465362548828,-24.6575927734375,14.578094482421875,10.13092041015625
2020-02-24 18:15:21.500498220,11367.82162475586,-7233.942169189453,-3690.468536376953,-24.680023193359375,14.452972412109375,10.29144287109375
2020-02-24 18:15:21.500518221,11382.278106689453,-7158.543670654297,-3769.076141357422,-24.666290283203125,14.20623779296875,10.545806884765625
2020-02-24 18:15:21.500538222,11398.040710449219,-7077.990447998047,-3848.8193359375,-24.704437255859375,13.997802734375,10.715179443359375
2020-02-24 18:15:21.500558222,11411.346099853516,-6991.115905761719,-3928.376495361328,-24.7113037109375,13.760833740234375,10.929412841796875
2020-02-24 18:15:21.500578223,11423.275604248047,-6901.807403564453,-4005.333038330078,-24.7412109375,13.56475830078125,11.173248291015625
2020-02-24 18:15:21.500598223,11433.86410522461,-6809.2432861328125,-4080.1152954101562,-24.779510498046875,13.3660888671875,11.418609619140625
2020-02-24 18:15:21.500618224,11443.057342529297,-6711.943023681641,-4154.095275878906,-24.804840087890625,13.291473388671875,11.577911376953125
2020-02-24 18:15:21.500638224,11450.587890625,-6614.677642822266,-4224.726623535156,-24.815521240234375,13.148193359375,11.720733642578125
2020-02-24 18:15:21.500658225,11457.63784790039,-6516.024749755859,-4293.00927734375,-24.83306884765625,12.9766845703125,11.87286376953125
2020-02-24 18:15:21.500678225,11464.234344482422,-6416.499816894531,-4359.567230224609,-24.822540283203125,12.9315185546875,11.978912353515625
2020-02-24 18:15:21.500698226,11471.408325195312,-6318.800354003906,-4424.636901855469,-24.947052001953125,12.88482666015625,12.086944580078125
2020-02-24 18:15:21.500718226,11478.764465332031,-6220.635803222656,-4490.1910400390625,-24.957427978515625,12.823028564453125,12.1795654296875
2020-02-24 18:15:21.500738227,11487.046905517578,-6123.509948730469,-4556.148254394531,-25.001220703125,12.725372314453125,12.271728515625
2020-02-24 18:15:21.500758227,11495.058044433594,-6029.7249755859375,-4620.783843994141,-25.0469970703125,12.75299072265625,12.346343994140625
2020-02-24 18:15:21.500778228,11503.410247802734,-5940.470733642578,-4684.493133544922,-25.13397216796875,12.640228271484375,12.417755126953125
2020-02-24 18:15:21.500798228,11513.471649169922,-5858.7276611328125,-4746.001007080078,-25.15716552734375,12.586822509765625,12.510986328125
2020-02-24 18:15:21.500818228,11522.118408203125,-5784.394989013672,-4803.993591308594,-25.187835693359375,12.636871337890625,12.608184814453125
2020-02-24 18:15:21.500838229,11530.869812011719,-5718.131591796875,-4860.606414794922,-25.283660888671875,12.463226318359375,12.704010009765625
2020-02-24 18:15:21.500858230,11538.74917602539,-5656.061737060547,-4918.556365966797,-25.28289794921875,12.4249267578125,12.794952392578125
2020-02-24 18:15:21.500878230,11545.058868408203,-5597.406402587891,-4979.9285888671875,-25.2862548828125,12.347412109375,12.921905517578125
2020-02-24 18:15:21.500898230,11549.698120117188,-5541.781890869141,-5045.091278076172,-25.32470703125,12.350616455078125,13.010101318359375
2020-02-24 18:15:21.500918231,11551.775512695312,-5487.211578369141,-5114.249847412109,-25.335235595703125,12.227020263671875,13.112030029296875
2020-02-24 18:15:21.500938232,11551.670867919922,-5435.524810791016,-5186.524505615234,-25.413055419921875,12.112579345703125,13.15338134765625
2020-02-24 18:15:21.500958232,11547.830017089844,-5385.09765625,-5261.535430908203,-25.44097900390625,12.1295166015625,13.244476318359375
2020-02-24 18:15:21.500978232,11542.617156982422,-5336.736267089844,-5339.577178955078,-25.39215087890625,12.0867919921875,13.257598876953125
2020-02-24 18:15:21.500998233,11536.427612304688,-5290.060821533203,-5418.944427490234,-25.399322509765625,11.998291015625,13.32275390625
2020-02-24 18:15:21.501018234,11526.513488769531,-5245.0596923828125,-5498.7496337890625,-25.3961181640625,11.961517333984375,13.359527587890625
2020-02-24 18:15:21.501038234,11515.37075805664,-5200.980987548828,-5578.008361816406,-25.34881591796875,11.852264404296875,13.42864990234375
