uWind_80m,WD_ModActive,WD_Nacelle,WD_NacelleMod,LSSDW_Tq,LSSDW_My,LSSDW_Mz,TTTq,TT_ForeAft,TT_SideSide,TB_ForeAft,TB_SideSide,BL3_FlapMom,BL3_EdgeMom,BL1_FlapMom,BL1_EdgeMom,ActivePower,yawoffset
3.037683536,1,144.5948825,144.5524256,19.99091433,-388.480371,-101.9224223,-237.721276,-1213.178179,163.6290156,1736.835502,-532.9056025,-678.3098522,-461.6790495,-775.4432554,-634.0039961,23.43630161,-0.181930474
2.147356465,1,29.88669203,29.85984675,-52.8245709,-391.1649989,-85.28662837,-240.8471951,-1250.740145,-33.54035791,-3182.148696,-511.3908145,-570.2635614,-466.4324663,-638.1170492,-631.0160718,-11.87415846,-0.171141104
1.237672882,1,81.80951412,81.83081406,-62.54371344,-407.7138113,-147.9044931,-477.0310262,-1215.581698,-194.1060823,-3862.602819,-967.8579224,-1472.140413,-508.0535655,-1478.1446,-658.448954,-10.72601608,-0.20015463
3.184126063,1,150.9692858,150.9652806,-20.06150674,-330.9892444,-93.74128909,-264.1146495,-1185.849982,-139.6852845,-1394.816315,-422.0847441,-535.2328564,-496.523042,-635.8250221,-642.59876,-22.90197189,-0.258792698
5.070044833,1,141.6687078,140.5632718,84.69601395,-414.6335501,-147.2035315,-395.226313,-1400.833542,111.112921,2303.493617,-1030.951606,-1812.768906,-545.11136,-1817.497236,-705.087778,99.88903215,-0.474659074
5.680681175,1,151.2970854,151.3609482,192.8926689,-455.1617809,-174.0864606,-340.788137,-1136.045983,327.64217,5336.657074,-589.8495463,-1619.477882,-451.0577035,-1669.980845,-641.606384,294.4618977,-0.325287933
4.517260539,1,138.6897267,138.6333438,103.0135662,-368.4707811,-119.6615441,-258.659036,-1096.09522,267.8885972,2958.073284,-619.2734745,-1616.668563,-483.2801764,-1694.779338,-681.5659417,121.7801547,-0.297598492
11.21997853,1,147.5485959,147.5674518,572.7407358,-618.9528752,-524.4253968,-1241.672125,-1490.104788,604.0401014,1140.828769,-2204.049133,-1611.327484,-713.0556188,-1692.16999,-928.7273011,1036.924165,-25.07051192
8.773808347,1,143.4378158,143.4438763,627.3133078,-612.3495337,-641.1439276,-1603.099148,-1328.386673,596.0082054,2497.329595,-2356.051188,-2343.078878,-608.2329494,-2432.567326,-823.7360876,1225.433333,-0.443146751
9.920409841,1,142.3562771,142.3658094,433.0981075,-761.3079723,-576.7155528,-1378.298381,-1763.977434,360.9723762,-1738.968864,-4064.027393,-2436.529882,-751.6230662,-2331.525521,-929.2833956,966.517063,-0.375975024
11.2146138,1,139.1330229,139.0563531,555.9285943,-663.7371956,-599.479535,-1415.956859,-1646.469669,577.097456,-1029.210311,-4184.600178,-2374.249839,-670.60707,-1772.426715,-979.515299,1221.822143,-0.526998813
13.42248865,1,148.8234983,148.7674765,480.6764336,-686.471072,-634.4325191,-1625.187011,-1851.787649,422.9499795,-3110.628438,-5184.196831,-1856.742581,-690.7984201,-1893.073226,-848.3312998,1040.530838,-0.466623435
12.80329774,1,155.1981659,155.2158916,-319.0468589,-925.162009,-624.0734691,-1551.521483,-1991.36081,-468.893113,-4954.57882,-8105.867664,-1843.66792,-637.6023667,-1781.63944,-804.3475716,-11.92460144,-1.931801457
3.189200804,1,125.5817257,125.5782117,107.5079806,-541.1474458,-260.8026094,-553.0852278,-1153.99304,52.86049043,2786.524037,-1694.007844,-2199.635896,-542.144648,-2222.321626,-771.9009467,251.9471265,-0.330887397
2.929084077,1,123.7124732,123.7666699,-6.063828617,-649.3894396,-272.1832251,-568.1250272,-1466.671628,112.8358323,-1983.136293,-2167.210742,-2295.344699,-651.4947947,-2396.630241,-776.0515658,7.590054591,-1.126182143
