uWind_80m,WD_ModActive,WD_Nacelle,WD_NacelleMod,LSSDW_Tq,LSSDW_My,LSSDW_Mz,TTTq,TT_ForeAft,TT_SideSide,TB_ForeAft,TB_SideSide,BL3_FlapMom,BL3_EdgeMom,BL1_FlapMom,BL1_EdgeMom,ActivePower,yawoffset
13.27089888,1,328.9917297,328.9463782,831.3647764,-10.1632848,237.27246,574.3099356,229.5502862,1131.521903,15980.69319,1998.094143,611.6510115,1298.839854,635.2641979,1024.827041,1400.840879,0.718376919
9.390389385,1,313.3847301,313.3790177,197.4559808,-13.33331809,229.3988768,533.1716606,-454.7120951,482.3161642,5908.812323,641.5917515,629.3815412,957.8560034,583.649418,761.3064207,214.4939692,4.449286214
13.57451339,1,282.479241,282.4965194,326.4596847,68.1298547,309.249554,520.2256371,18.0239342,482.8616926,9653.297361,1770.938244,621.2217628,1107.56197,607.513759,820.8648701,406.7468343,1.849477939
28.82367529,1,237.8815463,237.8293901,1122.619828,683.195897,494.3022101,1136.415068,1457.328804,1472.260474,17980.80636,7179.097077,1306.953624,1481.913126,1423.726241,1155.950061,1747.613757,0.242935857
21.46211092,1,240.4658124,240.4801678,1138.620127,271.2529223,348.1145423,966.2589054,902.2759653,1386.301668,19013.20232,4050.252445,105.2573229,1479.02483,16.29443961,1167.105632,1810.626069,0.357101505
19.00731368,1,264.2622106,264.2654792,1078.869907,489.5038742,285.2423111,788.8777412,1537.383369,1272.824648,20084.66255,3628.321021,-27.96214241,1462.004281,-52.31308671,1224.982728,1759.771644,0.26993383
18.70645403,1,241.3474902,241.3515181,1073.38222,141.8601311,333.3866351,879.6473544,698.9168317,1266.854724,17736.5156,3035.744961,-123.0073211,1425.866892,-148.1179879,1159.280609,1735.421614,0.768858566
16.08527777,1,243.9393557,243.7555147,991.3907339,437.3848796,334.4989113,892.1510308,1248.607338,1110.683985,19748.39692,3041.029041,280.9017404,1299.495832,202.1378889,1079.156954,1666.034288,0.389131919
19.48803665,1,213.3269407,213.300308,1094.680738,80.16533911,357.5061479,1054.168008,387.6779228,1299.076987,18367.75787,2831.1616,-299.3433614,1371.05314,-322.8054363,1085.750411,1764.513283,0.39954861
16.49198202,1,223.3737705,223.1845494,1074.956528,120.8169555,318.3223351,881.357763,385.8672784,1349.562827,17228.9933,2450.605808,-353.2430706,1388.425578,-368.4020043,1112.253476,1744.992228,0.346781078
17.2489159,1,205.1841204,205.2486668,1084.242764,79.4761438,267.1224875,797.8426413,251.8059849,1282.498053,16950.94843,2008.733838,-270.5892838,1261.956633,-329.7242415,1073.792494,1741.495099,0.270851434
11.78834953,1,222.0959502,222.0081581,694.9568864,126.1573443,259.2570927,728.777523,247.8214722,837.0375537,14786.64407,1346.082881,-660.2084571,1245.154485,-750.6046411,1038.122296,1174.479904,0.312843093
13.77300826,1,213.9333871,213.9850114,999.7732647,33.0842852,244.6678563,632.9061739,195.6288666,1202.880835,17291.81656,2054.195929,-351.3131265,1331.30247,-427.4220421,1106.313536,1696.287652,0.273752406
16.88686937,1,222.9154923,222.9435398,1068.001324,75.20974119,201.2333479,584.3069788,407.0303903,1344.10936,16744.55031,2681.215614,-604.9337947,1363.971096,-656.2092246,1136.313505,1741.446915,0.356975
16.55331389,1,198.6575359,198.6477271,1096.612165,77.1506844,271.9342292,722.0538479,464.9391751,1413.563046,16849.82852,2287.425473,-564.4578005,1357.600969,-551.6223524,1153.793077,1759.798747,0.336045176
15.29238573,1,221.3250943,221.5280876,1072.433731,152.2808606,386.5550987,1024.324327,557.8674794,1390.839124,16324.62332,2038.789609,-541.196978,1364.91688,-583.6251353,1098.090292,1741.53726,0.437384883
18.893132,1,204.1721701,204.0965347,1154.002645,190.562529,289.953722,665.1680182,654.371034,1401.897295,16954.4384,3164.663236,-313.797883,1302.451723,-329.6969435,1094.354432,1770.71777,0.32138109
15.13253139,1,213.3284694,213.1870972,1067.337611,23.94679901,324.0556632,681.800267,355.4380179,1349.687119,17324.32767,2839.002798,-684.3310333,1308.613689,-669.1177787,1053.754935,1766.895396,0.380713821
14.43808932,1,216.2778221,216.2289433,1085.067238,226.5617846,269.1358377,592.2102459,896.9628099,1417.22934,16704.67312,2966.626852,-299.9824009,1357.1422,-321.2513285,1084.558592,1739.043345,0.339288695
15.83516554,0,223.5280229,223.5304844,476.1004905,83.48325669,286.0194133,636.6513788,8.346370719,648.5301381,11846.39884,1970.240257,602.9374502,1071.470918,682.2394238,864.8490349,760.929183,0.255575384
19.3733475,0,199.3653849,199.3490882,935.8179997,192.7533384,398.0594028,920.7561396,630.9701178,1344.699026,16671.29513,3735.297429,-40.99066419,1324.559569,4.158171984,1093.338198,1518.993388,0.406507748
6.325028297,1,216.9983357,217.0282624,204.950882,-214.3726458,64.90609073,115.6550317,-635.4193895,409.1287991,5539.386799,477.9572593,-268.0629331,898.8287626,-289.5750592,687.1431844,222.9529553,1.067753118
5.951164874,1,207.7083829,207.8069955,160.8300627,-210.2108803,60.17629422,138.5096289,-673.3855345,341.2686797,4190.310229,455.9077568,-226.44093,846.7037953,-201.0405317,653.554032,142.6142333,0.216904763
6.462698772,1,226.1009996,226.0339891,183.43993,-208.7290916,70.87580832,144.1421813,-737.540382,455.5975202,4643.296572,707.4210548,-152.6509287,865.3708387,-152.2732687,656.7521601,171.8809472,0.248544155
5.803417412,1,299.9157779,299.879279,140.3720945,-215.7109432,114.0791748,203.0333176,-743.8414635,303.8570966,3535.072561,555.4441391,621.9673558,825.8883781,601.8157719,634.8654554,121.9589637,0.164243883
8.321648918,1,320.7130556,320.7007354,586.1390056,-123.0564722,215.225691,369.4442751,42.43617896,756.3276715,12663.02415,1643.949957,623.4197903,1115.242662,643.2255438,874.8347434,912.6676797,0.19995405
5.548592915,1,212.7138871,212.7011302,176.1149761,-170.0969718,86.13657952,113.8561537,-634.3908364,117.4557079,4025.046237,494.2221561,300.584153,807.9026538,205.5443106,639.3436379,181.5114149,0.140587643
11.64705424,1,235.2310197,235.2186339,901.4220645,52.70645296,341.4706427,799.3171314,391.3696004,1077.754524,16384.17517,2458.199393,-256.8363104,1243.631733,-267.6927016,989.8734027,1470.991249,3.378802495
