,water_depth,latitude,longitude,distance_to_shore,timezone,jurisdiction,gid
0,77.4295,44.6243,-124.279,15622.176,-8,Federal,413889
1,1337.408,43.4963,-125.152,64236.39,-8,Federal,296246
