time_index,frequency,direction,87,58
1995-01-01 01:00:00+00:00,0.0466,307.5,4.148127e-05,5.4892065e-05
1995-01-01 01:00:00+00:00,0.0466,322.5,4.148127e-05,5.4892065e-05
1995-01-01 01:00:00+00:00,0.0466,337.5,0.00012444382,2.7446033e-05
1995-01-01 01:00:00+00:00,0.0466,352.5,0.0005807378,0.00038424446
1995-01-01 01:00:00+00:00,0.0512,7.5,0.0067407065,0.010319708
1995-01-01 01:00:00+00:00,0.0512,22.5,0.0024266543,0.0074927667
1995-01-01 01:00:00+00:00,0.0512,37.5,0.0014103632,0.0016193159
1995-01-01 01:00:00+00:00,0.0512,52.5,0.0013688819,0.00024701428
1995-01-01 01:00:00+00:00,0.0512,67.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,82.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,97.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,112.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,127.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,142.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,157.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,172.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,187.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,202.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,217.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,232.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,247.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,262.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,277.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0512,292.5,0.0,2.7446033e-05
1995-01-01 01:00:00+00:00,0.0512,307.5,0.00020740635,0.00038424446
1995-01-01 01:00:00+00:00,0.0512,322.5,0.0007674035,0.0007410429
1995-01-01 01:00:00+00:00,0.0512,337.5,0.0026340608,0.001701654
1995-01-01 01:00:00+00:00,0.0512,352.5,0.006367375,0.006751724
1995-01-01 01:00:00+00:00,0.0564,7.5,0.013481413,0.016001036
1995-01-01 01:00:00+00:00,0.0564,22.5,0.0073836665,0.022725316
1995-01-01 01:00:00+00:00,0.0564,37.5,0.0027585046,0.0017291
1995-01-01 01:00:00+00:00,0.0564,52.5,0.0017836946,0.00024701428
1995-01-01 01:00:00+00:00,0.0564,67.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,82.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,97.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,112.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,127.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,142.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,157.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,172.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,187.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,202.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,217.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,232.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,247.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,262.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0564,277.5,0.0,8.23381e-05
1995-01-01 01:00:00+00:00,0.0564,292.5,0.0,5.4892065e-05
1995-01-01 01:00:00+00:00,0.0564,307.5,0.00037333145,0.0010429493
1995-01-01 01:00:00+00:00,0.0564,322.5,0.0074873692,0.0070810765
1995-01-01 01:00:00+00:00,0.0564,337.5,0.02119693,0.022368517
1995-01-01 01:00:00+00:00,0.0564,352.5,0.025573203,0.028653659
1995-01-01 01:00:00+00:00,0.062,7.5,0.019848788,0.030025959
1995-01-01 01:00:00+00:00,0.062,22.5,0.012506603,0.031782504
1995-01-01 01:00:00+00:00,0.062,37.5,0.0069273724,0.005626437
1995-01-01 01:00:00+00:00,0.062,52.5,0.0057866373,0.0051873
1995-01-01 01:00:00+00:00,0.062,67.5,0.00066370034,0.00063125876
1995-01-01 01:00:00+00:00,0.062,82.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,97.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,112.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,127.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,142.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,157.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,172.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,187.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,202.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,217.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,232.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,247.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,262.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.062,277.5,2.0740636e-05,0.00021956826
1995-01-01 01:00:00+00:00,0.062,292.5,0.0,8.23381e-05
1995-01-01 01:00:00+00:00,0.062,307.5,6.222191e-05,0.0020310064
1995-01-01 01:00:00+00:00,0.062,322.5,0.04936271,0.050336026
1995-01-01 01:00:00+00:00,0.062,337.5,0.12848824,0.17126325
1995-01-01 01:00:00+00:00,0.062,352.5,0.1253564,0.17656033
