,Hm0_contour,Te_contour
0,7.157644218841062,24.559613107715933
1,7.259799832195923,24.52722341365748
2,7.361654127087711,24.49394550639987
3,7.463185078318172,24.459786447791032
4,7.564370713546378,24.42475340614589
5,7.66518912217309,24.388853653293697
6,7.765618464169255,24.35209456152927
7,7.865636979196107,24.314483601450053
8,7.965222995081761,24.27602833805161
9,8.064354936971556,24.236736428810204
10,8.163011335833389,24.19661562008612
11,8.261170837307235,24.155673744594
12,8.358812210303483,24.11391871833216
13,8.455914355554963,24.071358537554648
14,8.552456314267753,24.028001276140866
15,8.648417276457433,23.983855082354115
16,8.743776589509604,23.938928176321713
17,8.838513766242517,23.89322884652354
18,8.932608493345521,23.846765447368135
19,9.02604063944308,23.799546396096453
20,9.118790263218022,23.75158017003802
21,9.210837621141307,23.702875303232446
22,9.302163175564809,23.653440384076347
23,9.392747602360316,23.603284052218505
24,9.482571798599466,23.55241499579583
25,9.571616889910102,23.50084194826089
26,9.659864238143555,23.448573686096463
27,9.747295448345326,23.395619025394854
28,9.833892376095994,23.34198681945435
29,9.919637134505267,23.28768595595923
30,10.004512100992805,23.232725354042156
31,10.08849992418056,23.177113961840476
32,10.171583530220548,23.120860753298224
33,10.253746129527531,23.063974726007558
34,10.33497122294264,23.00646489830492
35,10.415242607833784,22.948340306570316
36,10.494544384114706,22.889610002689285
37,10.57286096011661,22.830283051561224
38,10.650177058194126,22.77036852846379
39,10.72647772023113,22.70987551656443
40,10.8017483129118,22.64881310435796
41,10.875974532963784,22.587190383373404
42,10.949142412022606,22.525016445584537
43,11.021238321592742,22.462300381293552
44,11.092248977475187,22.39905127649136
45,11.162161444317828,22.33527821073745
46,11.230963139817295,22.270990254819505
47,11.298641838859979,22.206196468642474
48,11.365185677273763,22.14090589885548
49,11.430583155666564,22.075127576931138
50,11.494823142796225,22.00887051687502
51,11.557894878918631,21.942143713230585
52,11.619787978923368,21.87495613909642
53,11.680492435254244,21.807316744156534
54,11.739998620561018,21.739234452654443
55,11.79829729028563,21.67071816159539
56,11.855379585026434,21.601776738954936
57,11.911237032495231,21.53241902165255
58,11.965861549649416,21.4626538140754
59,12.019245444301115,21.39248988621038
60,12.071381416666467,21.321935972011378
61,12.122262560756187,21.251000767863264
62,12.171882365361698,21.179692930828764
63,12.22023471518506,21.108021077382183
64,12.267313891413242,21.03599378173308
65,12.313114572270678,20.963619574425397
66,12.357631833499939,20.89090694113579
67,12.40086114828374,20.817864321072662
68,12.442798387353518,20.744500105895128
69,12.483439818661564,20.670822638381903
70,12.522782106974612,20.59684021128819
71,12.560822313181417,20.522561066138262
72,12.597557893516232,20.447993392192522
73,12.632986698486718,20.373145325336594
74,12.667106971709167,20.298024947129058
75,12.699917348493079,20.222640283820382
76,12.731416854242237,20.146999305420398
77,12.761604902708116,20.07110992485155
78,12.790481294051732,19.99497999713447
79,12.818046212686488,19.918617318573876
80,12.844300224996333,19.842029626046802
81,12.869244276863233,19.76522459631573
82,12.892879691020392,19.688209845382328
83,12.915208164210965,19.610992927856728
84,12.936231764232065,19.53358133642503
85,12.955952926770616,19.455982501310455
86,12.974374452100667,19.378203789799652
87,12.991499501622163,19.300252505808473
88,13.007331594232038,19.222135889474014
89,13.02187460255164,19.14386111679454
90,13.035132749016077,19.065435299318125
91,13.04711060180368,18.986865483853993
92,13.057813070614703,18.90815865221181
93,13.067245402358624,18.82932172102475
94,13.075413176634948,18.75036154153537
95,13.082322301158953,18.671284899493067
96,13.087979006989567,18.592098515014765
97,13.092389843699744,18.512809042544696
98,13.095561674373625,18.4334230707936
99,13.09750167051009,18.353947122731604
100,13.098217306824973,18.27438765562255
101,13.097716355923192,18.19475106106632
102,13.096006882886781,18.115043665089562
103,13.09309723973845,18.035271728241494
104,13.088996059838236,17.955441445744125
105,13.083712252166693,17.875558947648777
106,13.077254995528982,17.79563029902558
107,13.069633732673415,17.715661500176203
108,13.060858164336894,17.635658486875396
109,13.050938243198114,17.555627130619747
110,13.039884167780842,17.47557323891724
111,13.027706376277136,17.395502555585434
112,13.0144155403152,17.31542076107573
113,13.000022558658527,17.235333472807188
114,12.984538550866715,17.155246245532098
115,12.967974850892935,17.07516457170658
116,12.95034300064246,16.99509388188245
117,12.931654743490618,16.915039545115558
118,12.91192201775994,16.83500686938366
119,12.89115695016797,16.755001102022163
120,12.869371849245463,16.675027430169227
121,12.846579198730579,16.59509098122459
122,12.822791650943168,16.515196823317595
123,12.79802202014041,16.4353499657825
124,12.77228327586706,16.35555535965033
125,12.745588536291264,16.275817898139287
126,12.717951061539312,16.19614241715784
127,12.689384247033344,16.116533695813832
128,12.659901616828215,16.036996456926353
129,12.62951681696097,15.957535367544365
130,12.598243608810025,15.878155039468648
131,12.56609586247311,15.798860029776975
132,12.533087550159768,15.719654841349222
133,12.499232739614627,15.640543923398461
134,12.464545587561261,15.561531671998207
135,12.429040333180597,15.48262243061267
136,12.39273129162392,15.403820490624241
137,12.355632847558677,15.325130091860684
138,12.317759448766425,15.246555423122754
139,12.279125599771977,15.168100622701482
140,12.23974585552946,15.089769778901461
141,12.199634815158843,15.011566930554569
142,12.158807115734012,14.933496067529102
143,12.11727742613059,14.855561131238238
144,12.075060440928459,14.777766015135525
145,12.032170874390685,14.70011456521266
146,11.988623454493396,14.622610580484631
147,11.944432917035666,14.545257813468876
148,11.89961399981291,14.46805997065931
149,11.854181436874295,14.391020712988805
150,11.808149952846069,14.314143656286554
151,11.761534257341975,14.237432371724307
152,11.714349039450997,14.160890386254824
153,11.666608962311566,14.08452118303958
