uWind_80m,WD_ModActive,WD_Nacelle,WD_NacelleMod,LSSDW_Tq,LSSDW_My,LSSDW_Mz,TTTq,TT_ForeAft,TT_SideSide,TB_ForeAft,TB_SideSide,BL3_FlapMom,BL3_EdgeMom,BL1_FlapMom,BL1_EdgeMom,ActivePower,yawoffset
7.773325196,1,178.6122557,178.6025946,127.2441914,-252.2381303,3.503220352,7.032572987,-846.6633668,271.446574,3785.034515,7.199176397,-494.8582875,266.7903683,-452.6527435,21.25999892,234.5782894,0.009661127
4.29485474,1,171.0955031,171.1043989,6.705063386,-242.9542795,8.781800933,13.57405512,-1005.504041,210.4328808,504.6319547,-63.45905807,-123.6640129,179.9069948,-95.18434554,-44.68620423,32.15616732,-0.008895803
5.210605564,1,168.6881063,168.6807579,51.78269775,-224.4551181,15.31027904,-53.98605404,-926.1328297,138.4392485,1992.287971,-42.41466451,-314.9923366,228.8959908,-270.3231452,-5.00084308,87.33723664,0.00734842
14.21065234,1,182.6954933,182.6883219,386.4845225,-218.1517913,13.45794608,-39.22326507,-568.0240264,515.1285403,7075.518787,649.3201389,-689.8856276,301.3990466,-718.3437545,77.78142577,692.0612615,0.007171452
10.55823395,1,182.4430875,182.4264747,561.122866,-228.1672781,-30.09594956,-51.68613252,-347.3275491,621.9742018,10992.15457,598.6749756,-1089.599789,374.6796004,-1151.084828,138.214755,997.9755145,0.016612732
7.42927388,1,176.2021543,176.1964798,308.8184117,-228.099847,2.539548347,42.74509287,-546.4646563,302.5469937,7668.357768,164.1920098,-820.693992,324.7580631,-884.1770663,103.1860411,537.4192899,0.005674549
10.19849426,1,181.6050571,181.5907546,555.9413876,-228.4418666,-4.463403998,48.14772306,-354.6484353,599.643536,11116.90184,349.1038363,-1107.658643,378.9648005,-1176.927495,142.171488,994.9384353,0.014302547
8.241145063,1,176.0387051,176.0519104,354.5350304,-203.5028913,-12.12741968,49.31121177,-452.3976349,351.2384698,8594.663151,115.9426323,-884.7120686,330.9414478,-959.7999223,108.516659,615.2986995,-0.013205351
11.4208551,1,180.1595536,180.1435363,726.8796075,-229.6130588,8.471606848,148.2947495,-395.3698638,829.2374975,12584.66449,-16.40422104,-1242.277674,418.0625532,-1358.716686,180.9149679,1294.800703,0.016017393
11.45577053,1,179.4154175,179.4083387,781.4125705,-237.1776829,22.29794062,178.9375781,-387.4581393,902.7115686,13140.59339,-48.70407945,-1294.602822,435.4036507,-1419.643123,196.4269007,1395.062709,0.007078849
13.10989284,1,178.4435956,178.4373902,750.4687073,-226.1635515,7.445271104,144.1667866,-495.5998887,878.0804718,10037.56936,-70.57154446,-979.9203679,322.1876885,-1086.616023,110.8623113,1321.923076,0.00620541
8.150102227,1,179.6265746,179.6099475,366.3189664,-250.1700238,-10.09672652,69.13394761,-524.5066785,408.7769211,10685.71496,-295.1779824,-1161.870852,370.3016716,-1276.086364,154.4979423,659.4007442,0.016627098
8.958155553,1,170.4414595,170.434447,476.2067746,-234.8603862,4.913086282,96.12521808,-463.5321796,566.5313684,11050.26114,-192.854326,-1177.312605,395.9966691,-1285.332459,178.9731587,840.0205296,0.007012427
11.09882277,1,182.1390896,182.1310525,738.9938249,-239.7231906,-14.80997682,53.29725111,-382.1222077,912.6430009,13048.47099,120.997015,-1333.934005,433.9870818,-1440.262192,210.0478367,1315.697041,0.008037122
12.15420063,1,177.650226,177.6435381,793.261312,-224.5768491,-2.049991292,74.61683724,-365.5721369,993.9529608,12086.02857,176.0050822,-1232.167013,390.2169688,-1328.10159,174.7218082,1410.851786,0.006687813
11.62083757,1,179.1891718,179.1765156,791.4568533,-236.45838,31.25075492,136.4726552,-411.4020977,991.526608,12479.54847,-22.93513055,-1277.705158,408.9510688,-1373.075957,190.5287112,1407.758669,0.012656198
13.05074381,1,178.707555,178.6988548,810.5000783,-205.0527655,-22.52658951,-48.37852969,-245.804867,1040.678865,11262.96844,537.3654254,-1133.837291,341.8546635,-1181.873981,146.5309952,1434.654916,0.008700247
9.947295065,1,178.3228784,178.312084,617.5130802,-246.9302163,-19.39005508,-58.02442008,-278.5648921,804.7330574,12468.40995,378.1026489,-1309.636819,406.2613845,-1356.843975,191.8413972,1100.320569,0.010794327
8.940904597,1,177.9882183,177.9787736,511.4861693,-232.7099556,-28.04010765,-87.45109707,-291.726522,709.9840556,11505.07379,416.6945958,-1221.711054,383.8111773,-1262.376766,176.2768144,902.3732772,0.009444732
8.550894775,0,182.5261383,182.5176948,174.0424427,-228.5323924,-11.26658337,-35.16379711,-699.0686363,309.9008578,3739.15437,163.8192441,-492.9335359,212.3370604,-491.0881255,57.95394406,263.5231226,0.008443533
12.66589704,0,178.5635163,178.5609545,697.2475164,-205.1202688,13.59591031,-1.360930696,-395.4110227,949.9964879,9900.080327,439.0973448,-1010.894096,301.4311676,-1008.618986,107.0630695,1224.975783,0.002561779
5.097567078,1,177.9384382,178.6288742,133.9724144,-276.1885195,2.890997325,-27.38304042,-848.2640753,274.4895271,3787.496692,93.22504558,-483.4640287,202.9006419,-524.1235329,22.50465408,140.2119695,-0.690436011
4.692840613,1,177.8161527,177.8060342,104.8668133,-284.4022405,-1.578320308,-35.58523392,-891.193805,236.1432971,3052.416058,73.04709136,-418.5613905,184.7509661,-457.9116044,11.24126884,100.1522423,0.010118573
4.485012614,1,183.2332514,183.2252798,88.21655532,-297.796042,-7.402775995,-29.25753811,-985.7110675,296.1482642,2772.574831,77.53765779,-403.2402739,179.3823396,-438.4822318,6.665681512,84.09705362,0.007971571
3.491096696,1,176.8209564,176.8173729,34.48621638,-279.418996,-1.808120278,-33.38914993,-983.8550442,141.093042,1182.934562,21.66411473,-215.2316918,136.9591296,-270.1274766,-20.64455752,34.58616993,0.003583471
