,WaveHeight,LinearResponse
-150.0,0.005611120494713293,0.0027294146106079087
-149.0,0.00676211323244001,0.002997963707828876
-148.0,0.0065273253096519625,0.0026327860960918886
-147.0,0.004699110139455138,0.0016794810416529556
-146.0,0.0014999504036406527,0.00031335965879420905
-145.0,-0.002413721207674146,-0.001190950627067912
-144.0,-0.0060984982119871994,-0.002515442504406577
-143.0,-0.008586501342915324,-0.0033669932323264
-142.0,-0.009174289367204796,-0.0035403579522665226
-141.0,-0.007642563238858953,-0.002965547718195834
-140.0,-0.0043371178824015075,-0.0017313383059223634
-139.0,-7.68944971048072e-05,-7.387980469173352e-05
-138.0,0.004085591910223427,0.0016699207884122557
-137.0,0.007165934908396721,0.0031299378279100163
-136.0,0.008513395006187276,0.003978643583035099
-135.0,0.00796316304013376,0.004004428732808541
-134.0,0.00583095456181169,0.003163656002792236
-133.0,0.0027662101243936896,0.0015970718919682927
-132.0,-0.000468948096028604,-0.0003916422326107166
-131.0,-0.0032133230547521157,-0.002392784384307768
-130.0,-0.005044737246912088,-0.003973243247451087
-129.0,-0.00581674028608242,-0.004768196661122704
-128.0,-0.0056087263493874145,-0.004563837289523009
-127.0,-0.004628574764096823,-0.003351321247755228
-126.0,-0.003117685566721065,-0.001338302529457371
-125.0,-0.0012959289798035783,0.0010842371957464922
-124.0,0.0006429823127254116,0.003416052230687527
-123.0,0.002502828577354819,0.005150251444180498
-122.0,0.004054649604021087,0.005882210158405963
-121.0,0.005039311200892226,0.0054020980597960615
-120.0,0.005221758977708088,0.003751081942272166
-119.0,0.004481350427664013,0.0012246961516415252
-118.0,0.002891277167882156,-0.0016801877948019008
-117.0,0.000743395820126781,-0.004362627579625311
-116.0,-0.0015027899797669653,-0.006241114868377098
-115.0,-0.0033484651238398938,-0.006882599747812409
-114.0,-0.004411902492919739,-0.0061049826704200755
-113.0,-0.004537144523399458,-0.004023932972395833
-112.0,-0.003824103165400725,-0.001040054721522019
-111.0,-0.0025774692399854133,0.002231982082844824
-110.0,-0.0011886124681957345,0.005090685483156474
-109.0,-1.3421694059798345e-06,0.006900836726303503
-108.0,0.0007822285566607968,0.007231340989123623
-107.0,0.0011346804691711632,0.00595640593355389
-106.0,0.0011788054473029568,0.0032996431671512244
-105.0,0.0011179868166399129,-0.00019976490215574373
-104.0,0.001149655861973058,-0.0037933142543505674
-103.0,0.0013948847234891294,-0.006675964495648514
-102.0,0.0018607755635891101,-0.008156619222831486
-101.0,0.0024327285891498924,-0.007814661455834282
-100.0,0.0028967741864653076,-0.005607755345898916
-99.0,0.0030008535834661703,-0.0019005005630925943
-98.0,0.0025407694746901084,0.00259503359834313
-97.0,0.0014443471001214909,0.006952439419851483
-96.0,-0.0001771238114199502,0.010214360447931215
-95.0,-0.002028631816752599,0.011595411674749334
-94.0,-0.0036772175388999294,0.010662197979419304
-93.0,-0.004653514983469798,0.007442731273809775
-92.0,-0.004602505186996672,0.00243873015376885
-91.0,-0.0034330195195121298,-0.003455151816103626
-90.0,-0.0014201139507787298,-0.009116897371954143
